date,amount,category
2024-07-01,45.50,groceries
2024-07-02,12.00,transport
2024-07-03,67.80,food
2024-07-04,23.50,groceries
2024-07-05,1200.00,rent
2024-07-06,55.00,entertainment
2024-07-07,34.20,groceries
2024-07-08,18.90,transport
2024-07-09,89.00,food
2024-07-10,15.50,groceries
2024-07-11,42.00,entertainment
2024-07-12,28.75,transport
2024-07-13,71.20,groceries
2024-07-14,95.00,food
2024-07-15,120.00,entertainment
2024-07-16,33.50,groceries
2024-07-17,19.80,transport
2024-07-18,58.90,food
2024-07-19,25.00,groceries
2024-07-20,150.00,shopping
2024-07-21,44.50,groceries
2024-07-22,31.20,transport
2024-07-23,76.40,food
2024-07-24,22.90,groceries
2024-07-25,88.00,entertainment
2024-07-26,39.70,groceries
2024-07-27,17.50,transport
2024-07-28,63.20,food
2024-07-29,29.90,groceries
2024-07-30,200.00,utilities
2024-07-31,52.30,groceries
2024-08-01,48.70,groceries
2024-08-02,14.50,transport
2024-08-03,72.90,food
2024-08-04,26.80,groceries
2024-08-05,1200.00,rent
2024-08-06,61.20,entertainment
2024-08-07,37.50,groceries
2024-08-08,21.30,transport
2024-08-09,94.50,food
2024-08-10,18.90,groceries
2024-08-11,47.00,entertainment
2024-08-12,32.80,transport
2024-08-13,76.30,groceries
2024-08-14,101.00,food
2024-08-15,130.00,entertainment
2024-08-16,36.90,groceries
2024-08-17,22.40,transport
2024-08-18,64.50,food
2024-08-19,28.70,groceries
2024-08-20,175.00,shopping
2024-08-21,49.20,groceries
2024-08-22,35.60,transport
2024-08-23,82.10,food
2024-08-24,25.50,groceries
2024-08-25,95.00,entertainment
2024-08-26,43.80,groceries
2024-08-27,19.90,transport
2024-08-28,68.40,food
2024-08-29,33.20,groceries
2024-08-30,210.00,utilities
2024-08-31,57.60,groceries
2024-09-01,51.30,groceries
2024-09-02,16.80,transport
2024-09-03,78.50,food
2024-09-04,29.90,groceries
2024-09-05,1200.00,rent
2024-09-06,67.40,entertainment
2024-09-07,41.20,groceries
2024-09-08,24.70,transport
2024-09-09,99.80,food
2024-09-10,21.50,groceries
2024-09-11,52.00,entertainment
2024-09-12,37.90,transport
2024-09-13,81.60,groceries
2024-09-14,107.00,food
2024-09-15,140.00,entertainment
2024-09-16,40.30,groceries
2024-09-17,25.90,transport
2024-09-18,70.20,food
2024-09-19,32.10,groceries
2024-09-20,190.00,shopping
2024-09-21,53.70,groceries
2024-09-22,39.40,transport
2024-09-23,87.90,food
2024-09-24,28.80,groceries
2024-09-25,102.00,entertainment
2024-09-26,48.50,groceries
2024-09-27,22.60,transport
2024-09-28,73.80,food